
"* 통계표ID : DT_1IN1002"
"* 통계표명 : 인구, 가구 및 주택 - 읍면동"
"* 수록기간 : ( 5년 : 2010 ~ 2010 )"
"* 출처 : 통계청 조사관리국 인구총조사과"
"* 파일생성일자 : 2013/08/29 16:50:19"

[주석 정보]
"통계표","주1) 가구형태"
,"
       - 일반가구(가구구분 항목 ①~④, 일반가구 내 외국인도 포함)"
,"
         ? 가족으로 이루어진 가구"
,"
         ? 가족과 5인 이하의 남남이 함께 사는 가구"
,"
         ? 1인가구"
,"
         ? 가족이 아닌 남남끼리 함께 사는 5인 이하의 가구"
,"
       - 집단가구"
,"
         ? 비혈연 6인 이상 가구 : 가족이 아닌 남남끼리 함께 사는 6인 이상의 가구(가구구분 항목 ⑤)"
,"
         ? 집단시설가구 : 기숙사나 노인요양시설?보육원 등 사회시설에 집단으로 살고 있는 가구"
,"
       - 외국인가구 : 외국인으로만 구성된 가구"
,"
 주2) 주택이외의 거처에는 오피스텔, 호텔·여관 등 숙박업소의 객실, 기숙사 및 특수 사회시설, 판잣집·비닐하우스 등이 있음"
,"
 주3) 파주시 진동면(3120021)의 (인구/가구/주택)은 파주시 군내면(3120038)에 포함"

[분류/항목 정보]
분류코드,분류/항목명,분류값,분류값명,단위,가중치
"'A","행정구역별(읍면동)","'00","전국",,
"'A","행정구역별(읍면동)","'03","동부",,
"'A","행정구역별(읍면동)","'04","읍부",,
"'A","행정구역별(읍면동)","'05","면부",,
"'A","행정구역별(읍면동)","'11","서울특별시",,
"'A","행정구역별(읍면동)","'11010","종로구",,
"'A","행정구역별(읍면동)","'1101053","사직동",,
"'A","행정구역별(읍면동)","'1101054","삼청동",,
"'A","행정구역별(읍면동)","'1101055","부암동",,
"'A","행정구역별(읍면동)","'1101056","평창동",,
"'A","행정구역별(읍면동)","'1101057","무악동",,
"'A","행정구역별(읍면동)","'1101058","교남동",,
"'A","행정구역별(읍면동)","'1101060","가회동",,
"'A","행정구역별(읍면동)","'1101061","종로1·2·3·4가동",,
"'A","행정구역별(읍면동)","'1101063","종로5·6가동",,
"'A","행정구역별(읍면동)","'1101064","이화동",,
"'A","행정구역별(읍면동)","'1101065","혜화동",,
"'A","행정구역별(읍면동)","'1101066","명륜3가동",,
"'A","행정구역별(읍면동)","'1101067","창신1동",,
"'A","행정구역별(읍면동)","'1101068","창신2동",,
"'A","행정구역별(읍면동)","'1101069","창신3동",,
"'A","행정구역별(읍면동)","'1101070","숭인1동",,
"'A","행정구역별(읍면동)","'1101071","숭인2동",,
"'A","행정구역별(읍면동)","'1101072","청운효자동",,
"'A","행정구역별(읍면동)","'11020","중구",,
"'A","행정구역별(읍면동)","'1102052","소공동",,
"'A","행정구역별(읍면동)","'1102054","회현동",,
"'A","행정구역별(읍면동)","'1102055","명동",,
"'A","행정구역별(읍면동)","'1102057","필동",,
"'A","행정구역별(읍면동)","'1102058","장충동",,
"'A","행정구역별(읍면동)","'1102059","광희동",,
"'A","행정구역별(읍면동)","'1102060","을지로동",,
"'A","행정구역별(읍면동)","'1102061","신당1동",,
"'A","행정구역별(읍면동)","'1102062","신당2동",,
"'A","행정구역별(읍면동)","'1102063","신당3동",,
"'A","행정구역별(읍면동)","'1102064","신당4동",,
"'A","행정구역별(읍면동)","'1102065","신당5동",,
"'A","행정구역별(읍면동)","'1102066","신당6동",,
"'A","행정구역별(읍면동)","'1102067","황학동",,
"'A","행정구역별(읍면동)","'1102068","중림동",,
"'A","행정구역별(읍면동)","'11030","용산구",,
"'A","행정구역별(읍면동)","'1103051","후암동",,
"'A","행정구역별(읍면동)","'1103052","용산2가동",,
"'A","행정구역별(읍면동)","'1103053","남영동",,
"'A","행정구역별(읍면동)","'1103057","원효로2동",,
"'A","행정구역별(읍면동)","'1103058","효창동",,
"'A","행정구역별(읍면동)","'1103059","용문동",,
"'A","행정구역별(읍면동)","'1103063","이촌1동",,
"'A","행정구역별(읍면동)","'1103064","이촌2동",,
"'A","행정구역별(읍면동)","'1103065","이태원1동",,
"'A","행정구역별(읍면동)","'1103066","이태원2동",,
"'A","행정구역별(읍면동)","'1103069","서빙고동",,
"'A","행정구역별(읍면동)","'1103070","보광동",,
"'A","행정구역별(읍면동)","'1103071","청파동",,
"'A","행정구역별(읍면동)","'1103072","원효로1동",,
"'A","행정구역별(읍면동)","'1103073","한강로동",,
"'A","행정구역별(읍면동)","'1103074","한남동",,
"'A","행정구역별(읍면동)","'11040","성동구",,
"'A","행정구역별(읍면동)","'1104052","왕십리2동",,
"'A","행정구역별(읍면동)","'1104054","마장동",,
"'A","행정구역별(읍면동)","'1104055","사근동",,
"'A","행정구역별(읍면동)","'1104056","행당1동",,
"'A","행정구역별(읍면동)","'1104057","행당2동",,
"'A","행정구역별(읍면동)","'1104058","응봉동",,
"'A","행정구역별(읍면동)","'1104059","금호1가동",,
"'A","행정구역별(읍면동)","'1104062","금호4가동",,
"'A","행정구역별(읍면동)","'1104065","성수1가1동",,
"'A","행정구역별(읍면동)","'1104066","성수1가2동",,
"'A","행정구역별(읍면동)","'1104067","성수2가1동",,
"'A","행정구역별(읍면동)","'1104068","성수2가3동",,
"'A","행정구역별(읍면동)","'1104069","송정동",,
"'A","행정구역별(읍면동)","'1104070","용답동",,
"'A","행정구역별(읍면동)","'1104071","왕십리도선동",,
"'A","행정구역별(읍면동)","'1104072","금호2·3가동",,
"'A","행정구역별(읍면동)","'1104073","옥수동",,
"'A","행정구역별(읍면동)","'11050","광진구",,
"'A","행정구역별(읍면동)","'1105053","화양동",,
"'A","행정구역별(읍면동)","'1105054","군자동",,
"'A","행정구역별(읍면동)","'1105055","중곡1동",,
"'A","행정구역별(읍면동)","'1105056","중곡2동",,
"'A","행정구역별(읍면동)","'1105057","중곡3동",,
"'A","행정구역별(읍면동)","'1105058","중곡4동",,
"'A","행정구역별(읍면동)","'1105059","능동",,
"'A","행정구역별(읍면동)","'1105060","구의1동",,
"'A","행정구역별(읍면동)","'1105061","구의2동",,
"'A","행정구역별(읍면동)","'1105062","구의3동",,
"'A","행정구역별(읍면동)","'1105063","광장동",,
"'A","행정구역별(읍면동)","'1105064","자양1동",,
"'A","행정구역별(읍면동)","'1105065","자양2동",,
"'A","행정구역별(읍면동)","'1105066","자양3동",,
"'A","행정구역별(읍면동)","'1105067","자양4동",,
"'A","행정구역별(읍면동)","'11060","동대문구",,
"'A","행정구역별(읍면동)","'1106071","회기동",,
"'A","행정구역별(읍면동)","'1106072","휘경1동",,
"'A","행정구역별(읍면동)","'1106073","휘경2동",,
"'A","행정구역별(읍면동)","'1106080","청량리동",,
"'A","행정구역별(읍면동)","'1106081","용신동",,
"'A","행정구역별(읍면동)","'1106082","제기동",,
"'A","행정구역별(읍면동)","'1106083","전농1동",,
"'A","행정구역별(읍면동)","'1106084","전농2동",,
"'A","행정구역별(읍면동)","'1106085","답십리1동",,
"'A","행정구역별(읍면동)","'1106086","답십리2동",,
"'A","행정구역별(읍면동)","'1106087","장안1동",,
"'A","행정구역별(읍면동)","'1106088","장안2동",,
"'A","행정구역별(읍면동)","'1106089","이문1동",,
"'A","행정구역별(읍면동)","'1106090","이문2동",,
"'A","행정구역별(읍면동)","'11070","중랑구",,
"'A","행정구역별(읍면동)","'1107052","면목2동",,
"'A","행정구역별(읍면동)","'1107054","면목4동",,
"'A","행정구역별(읍면동)","'1107055","면목5동",,
"'A","행정구역별(읍면동)","'1107057","면목7동",,
"'A","행정구역별(읍면동)","'1107059","상봉1동",,
"'A","행정구역별(읍면동)","'1107060","상봉2동",,
"'A","행정구역별(읍면동)","'1107061","중화1동",,
"'A","행정구역별(읍면동)","'1107062","중화2동",,
"'A","행정구역별(읍면동)","'1107064","묵1동",,
"'A","행정구역별(읍면동)","'1107065","묵2동",,
"'A","행정구역별(읍면동)","'1107068","망우3동",,
"'A","행정구역별(읍면동)","'1107069","신내1동",,
"'A","행정구역별(읍면동)","'1107070","신내2동",,
"'A","행정구역별(읍면동)","'1107071","면목본동",,
"'A","행정구역별(읍면동)","'1107072","면목3·8동",,
"'A","행정구역별(읍면동)","'1107073","망우본동",,
"'A","행정구역별(읍면동)","'11080","성북구",,
"'A","행정구역별(읍면동)","'1108058","돈암1동",,
"'A","행정구역별(읍면동)","'1108059","돈암2동",,
"'A","행정구역별(읍면동)","'1108060","안암동",,
"'A","행정구역별(읍면동)","'1108061","보문동",,
"'A","행정구역별(읍면동)","'1108062","정릉1동",,
"'A","행정구역별(읍면동)","'1108063","정릉2동",,
"'A","행정구역별(읍면동)","'1108064","정릉3동",,
"'A","행정구역별(읍면동)","'1108065","정릉4동",,
"'A","행정구역별(읍면동)","'1108066","길음1동",,
